xtz_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-30T00:00:00.0000000Z,2.2341,2.235,2.1371,2.1984,421004.1728339,1173
2020-10-01T00:00:00.0000000Z,2.204,2.2972,2.1329,2.1934,563456.18508152,1595
2020-10-02T00:00:00.0000000Z,2.1838,2.208,2.0205,2.0862,746995.62788282,2059
2020-10-03T00:00:00.0000000Z,2.0841,2.1445,2.0726,2.1138,219179.55380288,747
2020-10-04T00:00:00.0000000Z,2.1128,2.1473,2.0955,2.1162,295704.74344453,899
2020-10-05T00:00:00.0000000Z,2.1219,2.1678,2.081,2.1431,395216.54452686,991
2020-10-06T00:00:00.0000000Z,2.1444,2.24,2.0411,2.0652,622164.09126742,1884
2020-10-07T00:00:00.0000000Z,2.0635,2.1247,2.0387,2.0659,323917.74470276,1207
2020-10-08T00:00:00.0000000Z,2.0688,2.1483,2.0048,2.1128,577381.46790245,1651
2020-10-09T00:00:00.0000000Z,2.1149,2.2399,2.0778,2.1972,516991.0137706,1856
2020-10-10T00:00:00.0000000Z,2.1995,2.2857,2.196,2.2081,493905.27057309,1453
2020-10-11T00:00:00.0000000Z,2.2053,2.3138,2.196,2.2511,441572.36145959,1181
2020-10-12T00:00:00.0000000Z,2.2525,2.3862,2.2312,2.3436,669035.52402132,1655
2020-10-13T00:00:00.0000000Z,2.345,2.4552,2.3208,2.404,836630.82337557,1721
2020-10-14T00:00:00.0000000Z,2.4019,2.4212,2.235,2.2748,591548.46584556,1576
2020-10-15T00:00:00.0000000Z,2.2735,2.3061,2.2169,2.2415,470696.73975834,1014
2020-10-16T00:00:00.0000000Z,2.2391,2.2747,2.153,2.1666,312232.74526977,924
2020-10-17T00:00:00.0000000Z,2.1642,2.2231,2.1565,2.1862,86592.73924252,422
2020-10-18T00:00:00.0000000Z,2.1827,2.2414,2.1827,2.2297,100887.12504398,421
2020-10-19T00:00:00.0000000Z,2.232,2.25,2.1787,2.1871,379753.30231007,1352
2020-10-20T00:00:00.0000000Z,2.1878,2.1926,2.0454,2.0567,535823.9029628,1903
2020-10-21T00:00:00.0000000Z,2.043,2.1822,2.0409,2.1266,766986.34220507,1906
2020-10-22T00:00:00.0000000Z,2.1319,2.2442,2.1319,2.1943,617522.81578664,1831
2020-10-23T00:00:00.0000000Z,2.1886,2.2691,2.1651,2.2184,623346.32153405,1270
2020-10-24T00:00:00.0000000Z,2.2236,2.243,2.1967,2.2196,324810.51561016,743
2020-10-25T00:00:00.0000000Z,2.2212,2.2466,2.1589,2.1666,356614.416986,1056
2020-10-26T00:00:00.0000000Z,2.1596,2.1798,2.06,2.0939,418164.02033584,1379
2020-10-27T00:00:00.0000000Z,2.09,2.1312,2.0688,2.0845,231692.76363252,805
2020-10-28T00:00:00.0000000Z,2.0845,2.1133,1.9412,2.0061,639103.46868629,1900
2020-10-29T00:00:00.0000000Z,2.0026,2.051,1.9,1.9283,422321.30358906,1363
2020-10-30T00:00:00.0000000Z,1.9217,1.9626,1.7961,1.9051,609907.56934645,1678
2020-10-31T00:00:00.0000000Z,1.9025,2.0236,1.8978,1.9821,389936.51657393,1138
2020-11-01T00:00:00.0000000Z,1.9687,2.01,1.9347,1.9971,238926.62874217,884
2020-11-02T00:00:00.0000000Z,1.9985,2.0707,1.885,1.9085,341106.1519585,1032
2020-11-03T00:00:00.0000000Z,1.8934,1.9146,1.81,1.8699,567832.79622704,1474
2020-11-04T00:00:00.0000000Z,1.8654,1.9094,1.7873,1.8738,399250.94951304,1207
2020-11-05T00:00:00.0000000Z,1.8845,1.9706,1.8219,1.8824,893118.27675257,2152
2020-11-06T00:00:00.0000000Z,1.8872,2.1,1.8801,2.0912,672642.54876118,2431
2020-11-07T00:00:00.0000000Z,2.0961,2.2192,1.9508,2.0187,999737.11760839,3197
2020-11-08T00:00:00.0000000Z,2.0157,2.1569,1.9801,2.0909,1731219.23416945,2632
2020-11-09T00:00:00.0000000Z,2.0903,2.1582,2.0265,2.1168,484004.09310659,1271
2020-11-10T00:00:00.0000000Z,2.12,2.1902,2.1,2.1554,406094.27065947,1274
2020-11-11T00:00:00.0000000Z,2.1542,2.1989,2.1138,2.1249,585871.37612639,1524
2020-11-12T00:00:00.0000000Z,2.1243,2.1539,2.0466,2.0723,533467.06380246,1510
2020-11-13T00:00:00.0000000Z,2.0763,2.1553,2.0678,2.15,429948.25116536,1121
2020-11-14T00:00:00.0000000Z,2.1549,2.1602,2.0562,2.1025,266076.40123121,768
2020-11-15T00:00:00.0000000Z,2.1006,2.1106,1.9843,2.0207,519131.12936601,1212
2020-11-16T00:00:00.0000000Z,2.0124,2.0995,1.998,2.0833,480258.29373767,1383
2020-11-17T00:00:00.0000000Z,2.08,2.1584,2.08,2.1483,574555.16186057,1509
2020-11-18T00:00:00.0000000Z,2.1475,2.1876,2.0135,2.0888,690486.87301054,1813
2020-11-19T00:00:00.0000000Z,2.0864,2.1381,2.0235,2.0766,620325.64524538,2268
2020-11-20T00:00:00.0000000Z,2.0767,2.149,2.0652,2.1047,1322528.16009631,3453
2020-11-21T00:00:00.0000000Z,2.1141,2.4004,2.0556,2.4004,1661997.67558908,4004
2020-11-22T00:00:00.0000000Z,2.3996,2.4384,2.1529,2.27,1329891.31655186,3548
2020-11-23T00:00:00.0000000Z,2.2862,2.6631,2.2774,2.621,2262483.71449962,5643
2020-11-24T00:00:00.0000000Z,2.6266,2.8297,2.4936,2.6697,2870598.59943523,7100
2020-11-25T00:00:00.0000000Z,2.6786,2.9674,2.4837,2.6007,2138102.78139825,5431
2020-11-26T00:00:00.0000000Z,2.5905,2.6587,2.1061,2.241,2785706.3215474,7948
2020-11-27T00:00:00.0000000Z,2.2457,2.3357,2.159,2.2486,756157.76231818,2256
2020-11-28T00:00:00.0000000Z,2.2522,2.4314,2.2086,2.3266,951761.82898703,2005
2020-11-29T00:00:00.0000000Z,2.3205,2.4411,2.28,2.3643,520976.22309231,1291
2020-11-30T00:00:00.0000000Z,2.3727,2.5454,2.3357,2.4867,805148.025738,1900
2020-12-01T00:00:00.0000000Z,2.4925,2.5514,2.2251,2.3324,933660.41838995,3165
2020-12-02T00:00:00.0000000Z,2.3241,2.4126,2.2937,2.389,275268.28626302,742
2020-12-03T00:00:00.0000000Z,2.396,2.4493,2.3787,2.4064,255020.19218776,797
2020-12-04T00:00:00.0000000Z,2.4042,2.4318,2.2254,2.2867,557013.19147521,1601
2020-12-05T00:00:00.0000000Z,2.2747,2.3326,2.2426,2.3217,251300.82887763,719
2020-12-06T00:00:00.0000000Z,2.3243,2.3398,2.259,2.3175,128442.80122163,458
2020-12-07T00:00:00.0000000Z,2.3236,2.3236,2.2284,2.2766,272092.87500795,634
2020-12-08T00:00:00.0000000Z,2.2766,2.3579,2.1023,2.1498,606748.70918651,2235
2020-12-09T00:00:00.0000000Z,2.15,2.2006,2.04,2.1701,585981.97331799,1332
2020-12-10T00:00:00.0000000Z,2.1802,2.1802,2.08,2.1047,262277.97663689,576
2020-12-11T00:00:00.0000000Z,2.1096,2.1128,2.0464,2.0803,220131.55084279,787
2020-12-12T00:00:00.0000000Z,2.0779,2.158,2.074,2.1334,256070.06677683,601
2020-12-13T00:00:00.0000000Z,2.1358,2.268,2.1275,2.2215,847482.61601443,1382
2020-12-14T00:00:00.0000000Z,2.231,2.2643,2.1792,2.2237,175012.42097905,551
2020-12-15T00:00:00.0000000Z,2.2272,2.26,2.1834,2.2346,284768.96474144,672
2020-12-16T00:00:00.0000000Z,2.225,2.3749,2.2037,2.374,425455.02406611,1402
2020-12-17T00:00:00.0000000Z,2.375,2.4366,2.2768,2.2978,901174.94559041,2403
2020-12-18T00:00:00.0000000Z,2.2989,2.3275,2.261,2.3259,59423.38979119,246
2020-12-19T00:00:00.0000000Z,2.3295,2.392,2.303,2.3325,205373.98295237,690
2020-12-20T00:00:00.0000000Z,2.329,2.3549,2.2412,2.2703,311591.95540027,879
2020-12-21T00:00:00.0000000Z,2.2688,2.3088,2.1228,2.1869,547377.67151548,1734
2020-12-22T00:00:00.0000000Z,2.18,2.1953,2.0785,2.1837,336262.88469251,868
2020-12-23T00:00:00.0000000Z,2.19,2.196,1.578,1.8229,1236141.16241413,3279
2020-12-24T00:00:00.0000000Z,1.8218,2.0812,1.7865,2.0603,811817.2421267,1704
2020-12-25T00:00:00.0000000Z,2.0676,2.1145,1.9801,2.0258,456136.89467458,856
2020-12-26T00:00:00.0000000Z,2.0158,2.04,1.923,1.9769,510519.83433684,1048
2020-12-27T00:00:00.0000000Z,1.9809,2.1419,1.8743,1.9955,1004150.08957864,2148
2020-12-28T00:00:00.0000000Z,2.006,2.2351,1.9844,2.1209,665071.60181355,2103
2020-12-29T00:00:00.0000000Z,2.1195,2.1711,1.9792,2.0395,678732.17415867,1910
2020-12-30T00:00:00.0000000Z,2.0425,2.0741,1.96,1.9886,765212.47034364,1454
2020-12-31T00:00:00.0000000Z,1.9925,2.0241,1.9402,2.0154,405622.66780705,1224
2021-01-01T00:00:00.0000000Z,2.0065,2.1287,1.9786,2.0081,652117.60358425,1514
2021-01-02T00:00:00.0000000Z,2.0,2.0567,1.9467,1.9972,764890.96132513,2167
2021-01-03T00:00:00.0000000Z,2.0082,2.2289,1.9551,2.1318,2052356.65497848,4219
2021-01-04T00:00:00.0000000Z,2.1404,2.365,2.0126,2.333,1840227.35905267,5657
2021-01-05T00:00:00.0000000Z,2.333,2.4623,2.143,2.3776,1000968.08145548,3198
2021-01-06T00:00:00.0000000Z,2.3875,2.7417,2.3,2.6511,1240457.05186191,3919
2021-01-07T00:00:00.0000000Z,2.6527,2.7954,2.43,2.53,1211825.89638997,3586
2021-01-09T00:00:00.0000000Z,2.4632,2.6962,2.4198,2.6445,561463.14329162,2103
2021-01-10T00:00:00.0000000Z,2.6576,2.95,2.4002,2.7589,1753953.51292391,5320
2021-01-11T00:00:00.0000000Z,2.7601,2.7664,2.103,2.3312,1675542.98096476,5089
2021-01-12T00:00:00.0000000Z,2.3277,2.4491,2.1973,2.2798,658786.99640626,2596
2021-01-13T00:00:00.0000000Z,2.2952,2.5012,2.2304,2.5012,760534.36537245,1968
2021-01-14T00:00:00.0000000Z,2.5032,2.6138,2.404,2.55,862181.44859732,1987
2021-01-15T00:00:00.0000000Z,2.5485,2.9,2.4654,2.71,1777602.96183018,4480
2021-01-16T00:00:00.0000000Z,2.7069,3.1804,2.7,2.8607,2750000.40416112,6313
2021-01-17T00:00:00.0000000Z,2.8329,3.11,2.6896,2.9667,1081907.74703136,3063
2021-01-18T00:00:00.0000000Z,2.9745,3.1129,2.8476,3.0267,664384.80916698,1959
2021-01-19T00:00:00.0000000Z,3.0366,3.215,2.878,2.8797,1144029.16990468,3003
2021-01-20T00:00:00.0000000Z,2.8759,2.947,2.6426,2.9133,1004766.63401102,2454
2021-01-21T00:00:00.0000000Z,2.9262,2.9308,2.4257,2.4536,864519.10575199,2562
2021-01-22T00:00:00.0000000Z,2.4557,3.116,2.3019,2.9135,1989953.07466515,5265
2021-01-23T00:00:00.0000000Z,2.91,3.3969,2.8147,3.169,2722550.86821903,6040
2021-01-24T00:00:00.0000000Z,3.1614,3.2926,2.9171,3.0439,774400.3864241,2776
2021-01-25T00:00:00.0000000Z,3.0452,3.1778,2.9017,2.9237,769456.47954748,2212
2021-01-26T00:00:00.0000000Z,2.9154,3.0092,2.7588,2.9052,680923.64945223,1829
2021-01-27T00:00:00.0000000Z,2.903,2.9397,2.63,2.8019,1069298.90688603,2981
2021-01-28T00:00:00.0000000Z,2.792,3.0848,2.7273,3.0032,1311356.70449823,2976
2021-01-29T00:00:00.0000000Z,3.0099,3.0594,2.82,2.9163,709180.62242909,2458
2021-01-30T00:00:00.0000000Z,2.9177,3.0206,2.81,2.8943,793564.5591151,2029
2021-01-31T00:00:00.0000000Z,2.9101,2.9479,2.7345,2.8397,548383.32234061,1739
2021-02-01T00:00:00.0000000Z,2.8275,2.933,2.7607,2.92,458504.39458833,1675
2021-02-02T00:00:00.0000000Z,2.92,2.9772,2.8363,2.9099,551131.8748854,1622
2021-02-03T00:00:00.0000000Z,2.9195,3.18,2.8912,3.0502,898698.09477561,2836
2021-02-04T00:00:00.0000000Z,3.0538,3.1725,2.8566,2.9636,1315004.47636685,3718
2021-02-05T00:00:00.0000000Z,2.97,3.5189,2.9604,3.4758,2260468.37282301,5860
2021-02-06T00:00:00.0000000Z,3.4759,3.5128,3.0936,3.175,1150392.26426741,3366
2021-02-07T00:00:00.0000000Z,3.1779,3.46,3.0623,3.3136,975541.34854509,3847
2021-02-08T00:00:00.0000000Z,3.3078,3.4359,3.2405,3.4098,1047213.07052391,2720
2021-02-09T00:00:00.0000000Z,3.4223,3.8773,3.1936,3.7706,2319348.68069671,5968
2021-02-10T00:00:00.0000000Z,3.7942,3.9,3.46,3.8468,1578071.22510316,4689
2021-02-11T00:00:00.0000000Z,3.8452,4.3172,3.8073,4.1134,2050057.89584025,6226
2021-02-12T00:00:00.0000000Z,4.1248,5.4324,4.0147,5.0118,3446699.80050751,10085
2021-02-13T00:00:00.0000000Z,5.0201,5.5,4.6,5.3736,2150281.83423231,5925
2021-02-14T00:00:00.0000000Z,5.3774,5.64,4.7203,4.8611,1506726.37377099,4453
2021-02-15T00:00:00.0000000Z,4.8732,4.9616,3.8204,4.543,2238315.98140016,6505
2021-02-16T00:00:00.0000000Z,4.5401,4.8842,4.2985,4.5478,822485.04303194,2993
2021-02-17T00:00:00.0000000Z,4.5509,4.7653,4.1911,4.6102,728989.1868379,2438
2021-02-18T00:00:00.0000000Z,4.626,4.9942,4.5007,4.8366,1003882.59894951,3245
2021-02-19T00:00:00.0000000Z,4.8593,5.1009,4.5789,4.9725,1068784.43753935,3383
2021-02-20T00:00:00.0000000Z,4.99,5.1435,4.3403,4.6516,1319500.86965447,4883
2021-02-21T00:00:00.0000000Z,4.6417,4.8047,4.5155,4.673,440904.24770343,2141
2021-02-22T00:00:00.0000000Z,4.6564,4.6564,3.38,4.2873,2917623.38777629,6440
2021-02-23T00:00:00.0000000Z,4.2761,4.29,2.9303,3.55,3012606.47337496,8189
2021-02-24T00:00:00.0000000Z,3.5011,3.8978,3.3628,3.5287,698451.11004776,3111
2021-02-25T00:00:00.0000000Z,3.5353,3.8346,3.3,3.3326,706198.43812548,2322
2021-02-26T00:00:00.0000000Z,3.3338,3.795,3.1796,3.4563,967426.98312441,2668
2021-02-27T00:00:00.0000000Z,3.4691,3.8569,3.4691,3.6451,633443.07952369,2043
2021-02-28T00:00:00.0000000Z,3.663,3.6733,3.19,3.4031,928777.0147981,1994
2021-03-01T00:00:00.0000000Z,3.4559,3.685,3.4032,3.635,730010.11536023,1596
2021-03-02T00:00:00.0000000Z,3.6441,3.8006,3.497,3.6819,765732.28540509,2816
2021-03-03T00:00:00.0000000Z,3.6901,3.9998,3.671,3.8545,660186.53629143,2589
2021-03-04T00:00:00.0000000Z,3.8312,3.9708,3.5639,3.6645,475908.59616237,1899
2021-03-05T00:00:00.0000000Z,3.6282,3.8611,3.4441,3.76,838166.46360938,2342
2021-03-06T00:00:00.0000000Z,3.7842,4.011,3.7212,3.8763,660136.96041372,1831
2021-03-07T00:00:00.0000000Z,3.878,4.208,3.83,4.1952,764351.70771532,2332
2021-03-08T00:00:00.0000000Z,4.1982,4.4852,4.0662,4.3932,933219.70166911,3174
2021-03-09T00:00:00.0000000Z,4.4001,4.5877,4.3394,4.4716,500688.13586991,2165
2021-03-10T00:00:00.0000000Z,4.4743,4.4816,4.0636,4.1477,688404.21579213,2226
2021-03-11T00:00:00.0000000Z,4.1598,4.1881,3.9493,4.1212,506008.42275375,1556
2021-03-12T00:00:00.0000000Z,4.1258,4.1376,3.8205,3.9754,456190.4804824,1801
2021-03-13T00:00:00.0000000Z,3.96,4.23,3.8051,4.1646,425845.77840705,1876
2021-03-14T00:00:00.0000000Z,4.1679,4.1875,3.9248,3.9248,233048.38409887,1038
2021-03-15T00:00:00.0000000Z,3.9261,4.0537,3.739,3.8311,471188.45574401,1787
2021-03-16T00:00:00.0000000Z,3.8346,4.0442,3.692,4.0421,495137.57600994,1771
2021-03-17T00:00:00.0000000Z,4.0425,4.45,3.8444,4.4063,860365.61768843,3203
2021-03-18T00:00:00.0000000Z,4.413,4.5793,4.2299,4.2631,789097.26978471,3131
2021-03-19T00:00:00.0000000Z,4.2546,4.3482,4.116,4.2248,497204.36116162,1774
2021-03-20T00:00:00.0000000Z,4.2135,4.6069,4.2093,4.3608,792824.27648814,2986
2021-03-21T00:00:00.0000000Z,4.34,4.4188,4.05,4.1754,222968.01902145,1203
2021-03-22T00:00:00.0000000Z,4.1576,4.4175,4.0266,4.1032,376304.66604178,1761
2021-03-23T00:00:00.0000000Z,4.0548,4.2349,3.9545,4.1326,416272.76578259,1689
2021-03-24T00:00:00.0000000Z,4.1396,4.5199,3.8593,3.9953,527675.9848356,2794
2021-03-25T00:00:00.0000000Z,3.988,4.0679,3.7598,3.9308,490139.0439853,1810
2021-03-26T00:00:00.0000000Z,3.9491,4.2,3.9409,4.2,289568.29201508,1219
2021-03-27T00:00:00.0000000Z,4.2033,4.2219,4.0256,4.1039,227624.01475526,888
2021-03-28T00:00:00.0000000Z,4.104,4.3191,4.075,4.2256,320714.00424661,1191
2021-03-29T00:00:00.0000000Z,4.2212,4.6263,4.182,4.5912,768397.02496225,2792
2021-03-30T00:00:00.0000000Z,4.593,4.7884,4.5506,4.5582,701995.44829765,2566
