bal_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-17T00:00:00.0000000Z,22.2,34.73,22.17,27.53,1729.03534301,224
2020-09-18T00:00:00.0000000Z,24.0,27.09,20.48,20.51,2487.81403651,369
2020-09-19T00:00:00.0000000Z,20.54,26.99,18.21,18.8,1998.57911567,432
2020-09-20T00:00:00.0000000Z,18.58,20.53,17.05,17.4,444.08406615,196
2020-09-21T00:00:00.0000000Z,17.4,18.23,14.6,15.28,4552.74119954,390
2020-09-22T00:00:00.0000000Z,15.68,16.6,14.63,14.63,503.97517388,68
2020-09-23T00:00:00.0000000Z,14.71,15.32,13.16,13.26,1639.90497263,145
2020-09-24T00:00:00.0000000Z,13.06,15.79,13.06,15.79,1599.78034009,180
2020-09-25T00:00:00.0000000Z,15.57,16.9,14.72,15.79,2273.74837765,214
2020-09-26T00:00:00.0000000Z,15.46,16.33,14.86,15.47,1200.23286304,150
2020-09-27T00:00:00.0000000Z,15.42,16.11,14.74,14.87,886.35267944,82
2020-09-28T00:00:00.0000000Z,15.3,16.02,15.01,15.3,1591.58688916,113
2020-09-29T00:00:00.0000000Z,15.27,15.37,14.75,15.18,614.5436397,48
2020-09-30T00:00:00.0000000Z,15.43,15.75,15.33,15.39,286.25231103,29
2020-09-30T00:00:00.0000000Z,15.43,15.75,15.33,15.39,286.25231103,29
2020-10-01T00:00:00.0000000Z,15.85,18.9,15.85,17.73,7011.53311098,411
2020-10-02T00:00:00.0000000Z,17.75,18.58,14.91,15.81,8570.46549481,484
2020-10-03T00:00:00.0000000Z,15.73,16.81,15.7,16.36,2129.8695767,123
2020-10-04T00:00:00.0000000Z,16.1,16.47,15.88,16.3,2738.52871753,183
2020-10-05T00:00:00.0000000Z,16.46,16.76,15.98,15.98,4785.28545188,188
2020-10-06T00:00:00.0000000Z,15.88,16.03,13.86,13.93,1792.93703148,194
2020-10-07T00:00:00.0000000Z,13.72,14.99,13.24,14.43,1760.13184314,193
2020-10-08T00:00:00.0000000Z,14.33,15.15,13.67,15.15,2063.56035629,186
2020-10-09T00:00:00.0000000Z,15.02,15.7,15.01,15.44,1764.56514609,144
2020-10-10T00:00:00.0000000Z,15.44,15.92,15.14,15.15,1637.06492824,54
2020-10-11T00:00:00.0000000Z,15.03,15.28,14.92,15.09,98.83207968,23
2020-10-12T00:00:00.0000000Z,15.27,16.02,14.96,15.61,2509.55769003,89
2020-10-13T00:00:00.0000000Z,15.53,15.65,15.08,15.32,193.8971098,27
2020-10-14T00:00:00.0000000Z,15.4,15.4,14.13,14.3,358.33383819,49
2020-10-15T00:00:00.0000000Z,14.16,14.2,13.58,14.07,1098.14894813,132
2020-10-16T00:00:00.0000000Z,13.9,14.06,13.29,13.32,456.87066997,67
2020-10-17T00:00:00.0000000Z,13.33,13.94,13.24,13.77,512.47433874,66
2020-10-18T00:00:00.0000000Z,14.03,14.04,13.58,13.75,37.57676048,14
2020-10-19T00:00:00.0000000Z,13.6,13.69,13.14,13.34,249.16800368,61
2020-10-20T00:00:00.0000000Z,13.13,13.24,12.24,12.27,662.97250531,85
2020-10-21T00:00:00.0000000Z,12.27,12.69,12.13,12.21,1560.91782367,185
2020-10-22T00:00:00.0000000Z,12.32,13.21,12.24,12.8,1103.93342139,126
2020-10-23T00:00:00.0000000Z,12.8,12.8,11.93,12.32,902.31785313,140
2020-10-24T00:00:00.0000000Z,12.31,12.55,12.22,12.34,430.55219436,40
2020-10-25T00:00:00.0000000Z,12.17,13.08,12.17,12.78,3023.24544752,155
2020-10-26T00:00:00.0000000Z,12.76,12.85,11.52,11.77,2470.85875664,147
2020-10-27T00:00:00.0000000Z,11.73,12.59,11.72,12.12,4055.45228105,268
2020-10-28T00:00:00.0000000Z,12.01,12.1,10.48,10.75,2467.3534418,188
2020-10-29T00:00:00.0000000Z,10.9,10.92,10.39,10.41,679.22773771,65
2020-10-30T00:00:00.0000000Z,10.19,10.43,9.86,10.34,2095.56496472,98
2020-10-31T00:00:00.0000000Z,10.19,10.29,9.93,9.93,193.98002003,20
2020-11-01T00:00:00.0000000Z,10.02,10.03,9.55,10.03,2189.58525358,67
2020-11-02T00:00:00.0000000Z,10.02,10.12,9.09,9.16,1315.08698703,110
2020-11-03T00:00:00.0000000Z,9.09,9.44,8.72,8.96,1626.32124721,91
2020-11-04T00:00:00.0000000Z,8.92,9.17,8.39,8.8,1451.49777294,90
2020-11-05T00:00:00.0000000Z,8.8,9.19,8.69,8.91,705.95870754,68
2020-11-06T00:00:00.0000000Z,9.19,10.05,9.18,10.0,1779.28824812,104
2020-11-07T00:00:00.0000000Z,10.08,11.07,9.59,9.86,6739.26241178,309
2020-11-08T00:00:00.0000000Z,9.76,10.46,9.76,10.2,1822.41217119,77
2020-11-09T00:00:00.0000000Z,10.3,10.64,9.68,10.32,3828.877821,206
2020-11-10T00:00:00.0000000Z,10.24,12.46,10.23,12.25,9946.64662224,407
2020-11-11T00:00:00.0000000Z,12.11,12.68,11.34,11.71,5227.35957313,279
2020-11-12T00:00:00.0000000Z,11.62,12.19,11.16,11.57,4126.4919933,236
2020-11-13T00:00:00.0000000Z,11.5,13.4,11.4,13.4,4574.56347793,247
2020-11-14T00:00:00.0000000Z,13.39,13.39,12.09,13.03,6536.12419345,278
2020-11-15T00:00:00.0000000Z,13.02,13.77,12.2,12.67,3478.60302744,185
2020-11-16T00:00:00.0000000Z,12.59,13.52,12.59,13.05,6720.12610411,247
2020-11-17T00:00:00.0000000Z,13.04,14.46,13.04,13.81,5550.36451203,228
2020-11-18T00:00:00.0000000Z,13.96,14.11,12.21,13.45,7422.43188086,276
2020-11-19T00:00:00.0000000Z,13.47,13.47,12.42,13.1,6691.87210561,199
2020-11-20T00:00:00.0000000Z,13.33,15.99,13.33,15.52,11092.80599527,471
2020-11-21T00:00:00.0000000Z,15.67,16.59,15.31,16.17,5214.48052413,242
2020-11-22T00:00:00.0000000Z,16.1,18.23,15.5,17.12,5789.71222529,333
2020-11-23T00:00:00.0000000Z,16.99,17.65,16.26,17.4,2277.32298589,134
2020-11-24T00:00:00.0000000Z,17.29,17.72,15.82,16.05,1900.87092002,185
2020-11-25T00:00:00.0000000Z,16.1,16.1,14.4,14.98,6433.91892581,194
2020-11-26T00:00:00.0000000Z,14.69,15.47,12.0,13.4,5081.59005073,281
2020-11-27T00:00:00.0000000Z,13.45,13.64,12.9,13.11,251.86651333,22
2020-11-28T00:00:00.0000000Z,13.29,13.8,12.74,13.47,2044.68414731,65
2020-11-29T00:00:00.0000000Z,13.79,14.27,13.78,14.27,738.79741031,23
2020-11-30T00:00:00.0000000Z,14.59,14.86,14.04,14.86,2360.40779287,103
2020-12-01T00:00:00.0000000Z,14.89,15.18,13.55,13.89,3113.8282292,160
2020-12-02T00:00:00.0000000Z,13.41,14.95,13.3,14.64,1816.85691381,96
2020-12-03T00:00:00.0000000Z,14.54,15.08,13.94,14.64,3311.19706403,135
2020-12-04T00:00:00.0000000Z,14.61,14.61,13.16,13.23,1328.66916499,89
2020-12-05T00:00:00.0000000Z,13.11,13.87,13.11,13.74,472.28302164,32
2020-12-06T00:00:00.0000000Z,13.86,14.09,13.39,13.78,448.27807205,32
2020-12-07T00:00:00.0000000Z,13.78,14.08,13.36,13.42,483.06219796,45
2020-12-08T00:00:00.0000000Z,13.67,14.03,12.16,12.42,1773.08871447,107
2020-12-09T00:00:00.0000000Z,12.08,12.69,11.71,12.5,5087.86935186,253
2020-12-10T00:00:00.0000000Z,12.42,12.46,11.61,12.1,2253.17683994,105
2020-12-11T00:00:00.0000000Z,11.95,11.95,10.0,11.29,23270.39080014,389
2020-12-12T00:00:00.0000000Z,11.45,11.94,11.2,11.82,2773.64113399,126
2020-12-13T00:00:00.0000000Z,11.86,12.73,11.78,12.46,4896.61770169,208
2020-12-14T00:00:00.0000000Z,12.48,12.48,11.92,12.2,642.3123556,58
2020-12-15T00:00:00.0000000Z,12.43,12.5,11.76,12.06,1813.19377937,89
2020-12-16T00:00:00.0000000Z,12.14,14.14,11.98,14.11,9516.02142339,433
2020-12-17T00:00:00.0000000Z,14.2,14.4,12.7,14.13,8751.21643726,360
2020-12-18T00:00:00.0000000Z,14.05,14.5,13.76,14.35,578.92379252,49
2020-12-19T00:00:00.0000000Z,14.56,14.78,14.19,14.19,1905.27152733,128
2020-12-20T00:00:00.0000000Z,13.91,14.0,12.91,13.21,2820.59522137,206
2020-12-21T00:00:00.0000000Z,13.16,13.46,12.3,12.78,7720.59394339,353
2020-12-22T00:00:00.0000000Z,12.65,13.27,12.06,13.26,2575.85251731,112
2020-12-23T00:00:00.0000000Z,13.21,13.25,11.0,11.6,3416.94190326,173
2020-12-24T00:00:00.0000000Z,11.41,12.63,11.37,12.63,2072.74924995,100
2020-12-25T00:00:00.0000000Z,12.59,12.59,11.84,12.27,1444.83657815,81
2020-12-26T00:00:00.0000000Z,12.56,12.83,12.1,12.61,1668.05269963,99
2020-12-27T00:00:00.0000000Z,12.61,13.8,12.3,13.62,1770.46808951,162
2020-12-28T00:00:00.0000000Z,13.53,15.95,13.53,14.21,4863.38515866,267
2020-12-29T00:00:00.0000000Z,14.46,14.47,13.28,13.68,1490.59797246,110
2020-12-30T00:00:00.0000000Z,13.72,14.19,13.55,14.03,2171.63990946,93
2020-12-31T00:00:00.0000000Z,13.76,13.89,13.19,13.63,1524.33572929,103
2021-01-01T00:00:00.0000000Z,13.65,14.48,13.65,14.01,8673.6236305,290
2021-01-02T00:00:00.0000000Z,13.91,14.99,13.65,14.48,6158.4962285,321
2021-01-03T00:00:00.0000000Z,15.01,16.5,14.4,15.95,10433.66744962,448
2021-01-04T00:00:00.0000000Z,16.05,17.58,13.9,15.64,16844.61378454,552
2021-01-05T00:00:00.0000000Z,15.89,17.19,15.21,16.99,8352.69932478,319
2021-01-06T00:00:00.0000000Z,17.0,18.66,16.3,18.19,6600.34323939,332
2021-01-07T00:00:00.0000000Z,18.5,19.24,16.95,17.64,7426.87791932,335
2021-01-09T00:00:00.0000000Z,18.02,19.99,17.52,19.69,8918.72463793,397
2021-01-10T00:00:00.0000000Z,19.76,28.99,17.08,19.26,14366.51739252,682
2021-01-11T00:00:00.0000000Z,18.96,18.97,13.61,16.26,16061.53295833,490
2021-01-12T00:00:00.0000000Z,16.14,17.13,14.73,15.34,12605.12078347,334
2021-01-13T00:00:00.0000000Z,15.11,17.5,14.97,17.36,3581.68484192,168
2021-01-14T00:00:00.0000000Z,17.52,18.72,16.8,17.7,11768.83493662,297
2021-01-15T00:00:00.0000000Z,17.99,18.43,16.0,17.87,11926.69295326,320
2021-01-16T00:00:00.0000000Z,17.91,20.81,17.9,19.42,14272.36496173,487
2021-01-17T00:00:00.0000000Z,18.98,21.64,18.26,20.3,7586.02673262,320
2021-01-18T00:00:00.0000000Z,20.88,22.99,20.3,22.84,28926.51637381,826
2021-01-19T00:00:00.0000000Z,22.95,25.03,21.98,22.32,9483.88163626,485
2021-01-20T00:00:00.0000000Z,22.14,22.68,20.0,22.37,4728.00102426,208
2021-01-21T00:00:00.0000000Z,22.09,22.15,17.66,18.36,4354.11948606,230
2021-01-22T00:00:00.0000000Z,17.92,20.5,16.94,19.83,5297.79611175,281
2021-01-23T00:00:00.0000000Z,19.82,21.64,19.82,20.56,4777.3882784,181
2021-01-24T00:00:00.0000000Z,20.61,23.02,20.44,23.01,14572.08766422,357
2021-01-25T00:00:00.0000000Z,23.09,24.0,21.04,21.1,10086.22075506,478
2021-01-26T00:00:00.0000000Z,20.85,22.01,20.0,21.69,2857.53310538,233
2021-01-27T00:00:00.0000000Z,21.6,21.6,18.83,19.27,4865.55326311,240
2021-01-28T00:00:00.0000000Z,19.0,23.54,19.0,23.11,8818.57932463,352
2021-01-29T00:00:00.0000000Z,23.38,26.78,22.49,25.88,10363.1683716,590
2021-01-30T00:00:00.0000000Z,26.15,29.78,24.43,28.51,13381.89001057,796
2021-01-31T00:00:00.0000000Z,28.51,28.79,25.52,26.45,6782.86822856,604
2021-02-01T00:00:00.0000000Z,26.43,30.62,25.16,30.22,11603.06378922,649
2021-02-02T00:00:00.0000000Z,30.33,35.22,29.5,32.4,18660.6154815,1578
2021-02-03T00:00:00.0000000Z,32.73,35.87,32.0,35.51,11394.15439555,783
2021-02-04T00:00:00.0000000Z,35.67,36.37,31.05,33.94,25738.21329866,1545
2021-02-05T00:00:00.0000000Z,33.86,41.88,33.62,39.54,15778.09234254,1534
2021-02-06T00:00:00.0000000Z,39.54,40.74,35.24,36.03,12118.58883833,987
2021-02-07T00:00:00.0000000Z,36.03,37.21,33.26,36.24,8491.95301339,656
2021-02-08T00:00:00.0000000Z,36.78,49.0,28.0,37.28,13456.27920593,864
2021-02-09T00:00:00.0000000Z,37.25,39.45,34.88,39.2,13037.93945346,742
2021-02-10T00:00:00.0000000Z,39.5,42.9,33.6,42.57,21630.70381238,1483
2021-02-11T00:00:00.0000000Z,42.75,52.99,40.7,47.85,31337.50737093,1883
2021-02-12T00:00:00.0000000Z,47.72,53.86,46.15,52.21,11778.87079065,1148
2021-02-13T00:00:00.0000000Z,52.2,52.75,46.84,48.53,13019.356948,879
2021-02-14T00:00:00.0000000Z,48.59,49.37,29.55,44.53,7377.99825669,744
2021-02-15T00:00:00.0000000Z,44.62,46.95,38.13,43.57,10944.84474687,998
2021-02-16T00:00:00.0000000Z,43.65,45.74,41.61,43.08,6776.37372882,660
2021-02-17T00:00:00.0000000Z,42.91,46.12,40.29,44.54,7132.10144445,761
2021-02-18T00:00:00.0000000Z,44.91,47.14,44.79,46.8,4926.56756258,467
2021-02-19T00:00:00.0000000Z,47.36,47.49,43.12,44.17,2975.16788418,474
2021-02-20T00:00:00.0000000Z,44.08,50.46,42.97,46.33,9588.75648136,1004
2021-02-21T00:00:00.0000000Z,45.68,48.66,45.0,45.89,6078.92321616,397
2021-02-22T00:00:00.0000000Z,45.82,45.82,35.0,40.86,18516.91679869,1281
2021-02-23T00:00:00.0000000Z,41.12,41.32,30.0,34.73,11927.91138735,1393
2021-02-24T00:00:00.0000000Z,34.59,41.29,33.44,38.21,6368.08815998,559
2021-02-25T00:00:00.0000000Z,39.31,40.12,34.33,34.47,5364.36091235,406
2021-02-26T00:00:00.0000000Z,34.57,37.62,32.63,35.46,6010.13404637,420
2021-02-27T00:00:00.0000000Z,35.65,39.52,35.65,36.66,6224.42401704,344
2021-02-28T00:00:00.0000000Z,36.9,37.03,32.0,34.95,4154.31882577,316
2021-03-01T00:00:00.0000000Z,34.78,38.33,34.78,38.23,3109.48656092,316
2021-03-02T00:00:00.0000000Z,38.23,39.31,35.56,36.67,2726.00172508,339
2021-03-03T00:00:00.0000000Z,36.51,40.62,36.51,39.18,3766.91886926,460
2021-03-04T00:00:00.0000000Z,37.3,39.51,36.52,37.28,2918.33564567,375
2021-03-05T00:00:00.0000000Z,36.33,36.86,35.05,36.57,2001.74930944,240
2021-03-06T00:00:00.0000000Z,36.59,43.55,36.24,42.82,4267.72783651,418
2021-03-07T00:00:00.0000000Z,42.74,44.17,41.32,44.09,2979.61205024,418
2021-03-08T00:00:00.0000000Z,44.49,50.26,43.67,50.19,5011.27827894,811
2021-03-09T00:00:00.0000000Z,50.34,53.69,47.38,48.86,7098.42141768,844
2021-03-10T00:00:00.0000000Z,49.02,49.21,45.25,45.91,5080.39595656,613
2021-03-11T00:00:00.0000000Z,45.77,48.92,43.82,47.32,1630.80218159,389
2021-03-12T00:00:00.0000000Z,47.15,47.32,42.77,44.7,2053.8882996,314
2021-03-13T00:00:00.0000000Z,43.7,49.0,43.13,48.42,4698.50307445,424
2021-03-14T00:00:00.0000000Z,47.91,54.99,45.92,53.0,12066.17582686,1261
2021-03-15T00:00:00.0000000Z,52.98,63.54,52.98,55.0,19980.65932113,2108
2021-03-16T00:00:00.0000000Z,55.78,56.5,51.51,54.8,7580.65463698,771
2021-03-17T00:00:00.0000000Z,54.35,55.6,51.0,54.83,6056.56447025,501
2021-03-18T00:00:00.0000000Z,54.56,64.14,53.83,62.2,10810.59275324,1068
2021-03-19T00:00:00.0000000Z,62.26,65.02,59.68,60.69,22653.85997297,1123
2021-03-20T00:00:00.0000000Z,60.55,65.63,59.55,59.9,10183.07770991,690
2021-03-21T00:00:00.0000000Z,59.95,60.49,57.06,58.39,14859.07196598,847
2021-03-22T00:00:00.0000000Z,57.98,59.11,52.29,53.44,7823.33392597,530
2021-03-23T00:00:00.0000000Z,52.42,54.32,49.52,50.95,3622.45575191,349
2021-03-24T00:00:00.0000000Z,50.71,54.38,46.42,47.35,7430.95426182,577
